"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","100-41-4","Ethylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00038","0.0010","HBV","40","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","100-42-5","Styrene","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00031","0.0010","MCL","100","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","10061-01-5","cis-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00042","0.0010","","","","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","10061-02-6","trans-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00042","0.0010","","","","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","103-65-1","n-Propylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00035","0.0010","","","","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","104-51-8","n-Butylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00036","0.0010","","","","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","106-43-4","4-Chlorotoluene","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00035","0.0010","","","","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","106-46-7","1,4-Dichlorobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00027","0.0010","HRL","10","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","106-93-4","1,2-Dibromoethane (EDB)","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00038","0.0010","HRL","0.004","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","02-08-0107","ACROLEIN","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.0089","0.050","","","","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","05-01-0107","ALLYL CHLORIDE","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.0017","0.0050","HRL","30","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","06-02-0107","1,2-Dichloroethane","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00036","0.0010","HRL","1","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","107-13-1","Acrylonitrile","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.0019","0.010","","","","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","10-01-0108","Methyl Isobutyl Ketone","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.0021","0.010","HRL","300","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","108-20-3","Diisopropyl ether","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00032","0.0010","","","","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","108-67-8","1,3,5-Trimethylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00039","0.0010","HBV","30","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","108-86-1","Bromobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00035","0.0010","","","","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","108-88-3","Toluene","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00078","0.0050","HBV","70","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","108-90-7","Chlorobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00035","0.0010","MCL","100","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","109-99-9","TETRAHYDROFURAN","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.0018","0.0050","HRL","600","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","110-75-8","2-CHLOROETHYL VINYL ETHER","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.0030","0.050","","","","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","120-82-1","1,2,4-Trichlorobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00021","0.0010","HRL","4","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","124-48-1","Dibromochloromethane","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00033","0.0010","HRL","10","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","127-18-4","Tetrachloroethene","Volatile","Volatile Organics","2.6","ug/L","Actual","Y","","0.00037","0.0010","HBV","4","ug/L","0.65","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","1330-20-7","Xylene (Total)","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.0011","0.0030","HBV","300","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","135-98-8","sec-Butylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00036","0.0010","","","","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","142-28-9","1,3-Dichloropropane","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00037","0.0010","","","","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","156-59-2","cis-1,2-Dichloroethene","Volatile","Volatile Organics","1.4","ug/L","Actual","Y","","0.00026","0.0010","HRL","6","ug/L","0.23","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","156-60-5","trans-1,2-Dichloroethene","Volatile","Volatile Organics","1.2","ug/L","Actual","Y","","0.00040","0.0010","HBV","9","ug/L","0.13","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","04-04-1634","Methyl-tertiary-butyl ether","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00037","0.0010","RAA","60","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","526-73-8","1,2,3-Trimethylbenzene","Other organic","Other Organics","","ug/L","","N","Below Method Detection Limit","0.00032","0.0010","HBV","30","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","541-73-1","1,3-Dichlorobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00022","0.0010","","","","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","56-23-5","Carbon tetrachloride","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00038","0.0010","HRL","1","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","563-58-6","1,1-Dichloropropene","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00035","0.0010","","","","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","591-78-6","2-HEXANONE","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.0038","0.010","","","","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","594-20-7","2,2-Dichloropropane","Other organic","Other Organics","","ug/L","","N","Below Method Detection Limit","0.00032","0.0010","","","","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","60-29-7","ETHYL ETHER","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00039","0.0010","RAA","200","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","630-20-6","1,1,1,2-Tetrachloroethane","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00038","0.0010","HRL","70","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","67-64-1","Acetone","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.010","0.050","HBV","3000","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","67-66-3","Chloroform","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00032","0.0050","HRL","20","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","71-43-2","Benzene","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00033","0.0010","HRL","2","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","71-55-6","1,1,1-Trichloroethane","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00032","0.0010","MCL","200","ug/L","","Y","N","04-09-2023"
"SR0001405","33289098","Superfund","University Ave & Pascal St","2001004976","Well","Well-Temporary","44.956222","-93.162053","924.23231304","","41","06-17-2014","Wtr-Ground","Water","06-22-2014","8260B","Volatile Organics by CGC/MS","74-83-9","Bromomethane","Volatile","Volatile Organics","","ug/L","","N","Below Method Detection Limit","0.00087","0.0050","HRL","10","ug/L","","Y","N","04-09-2023"
